Category,Indicator,Scraped_At
Tiêu dùng,Q3-2024,2025-12-16T00:08:19.761502
Tiêu dùng,Q2-2024,2025-12-16T00:08:19.761505
Tiêu dùng,Q1-2024,2025-12-16T00:08:19.761508
Tiêu dùng,Q4-2023,2025-12-16T00:08:19.761511
Tiêu dùng,Q3-2023,2025-12-16T00:08:19.761514
Tiêu dùng,Q2-2023,2025-12-16T00:08:19.761518
Tiêu dùng,Q1-2023,2025-12-16T00:08:19.761521
Tiêu dùng,Q4-2022,2025-12-16T00:08:19.761524
Tiêu dùng,Q3-2022,2025-12-16T00:08:19.761527
Tiêu dùng,Q2-2022,2025-12-16T00:08:19.761529
Tiêu dùng,Q1-2022,2025-12-16T00:08:19.761532
Tiêu dùng,GDP THỰC,2025-12-16T00:08:19.761536
Tiêu dùng,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:19.761567
Tiêu dùng,Nông nghiệp,2025-12-16T00:08:19.761593
Tiêu dùng,Lâm nghiệp,2025-12-16T00:08:19.761619
Tiêu dùng,Thủy sản,2025-12-16T00:08:19.761645
Tiêu dùng,Công nghiệp và xây dựng,2025-12-16T00:08:19.761673
Tiêu dùng,Dịch vụ,2025-12-16T00:08:19.761699
Tiêu dùng,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:19.761727
Tiêu dùng,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:19.761754
Tiêu dùng,Thông tin mới nhất,2025-12-16T00:08:19.761760
Tiêu dùng,Tin quan trọng,2025-12-16T00:08:19.761764
Tiêu dùng,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:19.761771
Tiêu dùng,"Chart
Chart with 0 data points.
End of interactive chart.
PHÂN BỔ DÒNG TIỀN
TÁC ĐỘNG ĐẾN INDEX",2025-12-16T00:08:19.761784
Tiêu dùng,"Chart
Chart with 0 data points.
End of interactive chart.",2025-12-16T00:08:19.761788
Tiêu dùng,"Chart
Chart with 0 data points.",2025-12-16T00:08:19.761792
Tiêu dùng,Chart with 0 data points.,2025-12-16T00:08:19.761795
Tiêu dùng,End of interactive chart.,2025-12-16T00:08:19.761798
Tiêu dùng,"PHÂN BỔ DÒNG TIỀN
TÁC ĐỘNG ĐẾN INDEX",2025-12-16T00:08:19.761805
Tiêu dùng,PHÂN BỔ DÒNG TIỀN,2025-12-16T00:08:19.761810
Tiêu dùng,TÁC ĐỘNG ĐẾN INDEX,2025-12-16T00:08:19.761814
Tiêu dùng,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:19.761818
Tiêu dùng,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:19.761830
Tiêu dùng,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:19.761835
Tiêu dùng,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:19.761840
Tiêu dùng,Vốn hoá,2025-12-16T00:08:19.761848
Tiêu dùng,LNST,2025-12-16T00:08:19.761851
Tiêu dùng,SLCP lưu hành,2025-12-16T00:08:19.761856
Tiêu dùng,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:19.761868
Tiêu dùng,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:19.761871
Tiêu dùng,Average: 14.18,2025-12-16T00:08:19.761875
Tiêu dùng,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:19.761881
Tiêu dùng,P/E thị trường,2025-12-16T00:08:19.761886
